s,V_C
5.850585058505851e-8,17.22342189218513
5.8605860586058606e-8,17.18221495650147
5.8705870587058705e-8,17.14104921127388
5.88058805880588e-8,17.099924615328383
5.890589058905891e-8,17.05884112753214
5.900590059005901e-8,17.017798706793442
5.9105910591059105e-8,16.97679731206167
5.9205920592059204e-8,16.93583690232721
5.930593059305931e-8,16.894917436621455
5.940594059405941e-8,16.854038874016766
5.9505950595059506e-8,16.813201173626382
5.960596059605961e-8,16.772404294604456
5.970597059705971e-8,16.731648196145905
5.980598059805981e-8,16.690932837486514
5.990599059905991e-8,16.650258177902757
6.000600060006e-8,16.609624176711833
6.01060106010601e-8,16.569030793271615
6.02060206020602e-8,16.528477986980597
6.03060306030603e-8,16.48796571727786
6.04060406040604e-8,16.447493943643018
6.050605060506051e-8,16.40706262559621
6.060606060606061e-8,16.366671722698015
6.070607060706071e-8,16.326321194549465
6.080608060806081e-8,16.286011000791937
6.09060906090609e-8,16.24574110110718
6.1006100610061e-8,16.205511455217227
6.11061106110611e-8,16.165322022884403
6.12061206120612e-8,16.12517276391121
6.130613061306131e-8,16.08506363814037
6.140614061406141e-8,16.04499460545472
6.150615061506151e-8,16.004965625777224
6.160616061606161e-8,15.96497665907087
6.170617061706171e-8,15.92502766533871
6.18061806180618e-8,15.885118604623749
6.19061906190619e-8,15.845249437008931
6.2006200620062e-8,15.805420122617122
6.21062106210621e-8,15.765630621611031
6.220622062206221e-8,15.725880894193196
6.230623062306231e-8,15.68617090060593
6.240624062406241e-8,15.646500601131308
6.250625062506251e-8,15.606869956091067
6.260626062606261e-8,15.567278925846665
6.27062706270627e-8,15.527727470799114
6.28062806280628e-8,15.488215551389075
6.29062906290629e-8,15.448743128096694
6.3006300630063e-8,15.409310161441674
6.310631063106311e-8,15.369916611983136
6.320632063206321e-8,15.330562440319667
6.330633063306331e-8,15.291247607089204
6.340634063406341e-8,15.251972072969046
6.350635063506351e-8,15.212735798675816
6.36063606360636e-8,15.17353874496537
6.37063706370637e-8,15.134380872632818
6.38063806380638e-8,15.095262142512453
6.39063906390639e-8,15.056182515477722
6.400640064006401e-8,15.017141952441158
6.410641064106411e-8,14.978140414354407
6.420642064206421e-8,14.939177862208112
6.430643064306431e-8,14.900254257031932
6.440644064406441e-8,14.86136955989447
6.45064506450645e-8,14.822523731903253
6.46064606460646e-8,14.783716734204667
6.47064706470647e-8,14.744948527983965
6.48064806480648e-8,14.70621907446516
6.490649064906491e-8,14.667528334911061
6.500650065006501e-8,14.628876270623202
6.510651065106511e-8,14.590262842941755
6.520652065206521e-8,14.551688013245581
6.530653065306531e-8,14.513151742952125
6.54065406540654e-8,14.474653993517421
6.55065506550655e-8,14.436194726435993
6.56065606560656e-8,14.39777390324089
6.57065706570657e-8,14.359391485503593
6.580658065806581e-8,14.321047434834021
6.590659065906591e-8,14.282741712880423
6.600660066006601e-8,14.244474281329445
6.610661066106611e-8,14.206245101905964
6.620662066206621e-8,14.168054136373172
6.63066306630663e-8,14.12990134653245
6.64066406640664e-8,14.091786694223387
6.65066506650665e-8,14.053710141323684
6.66066606660666e-8,14.01567164974918
6.670667066706671e-8,13.977671181453772
6.680668066806681e-8,13.939708698429385
6.690669066906691e-8,13.901784162705937
6.700670067006701e-8,13.86389753635131
6.710671067106711e-8,13.826048781471286
6.72067206720672e-8,13.788237860209549
6.73067306730673e-8,13.750464734747595
6.74067406740674e-8,13.712729367304753
6.75067506750675e-8,13.6750317201381
6.760676067606761e-8,13.63737175554244
6.770677067706771e-8,13.599749435850285
6.780678067806781e-8,13.562164723431778
6.790679067906791e-8,13.524617580694681
6.800680068006801e-8,13.487107970084345
6.81068106810681e-8,13.449635854083645
6.82068206820682e-8,13.41220119521298
6.83068306830683e-8,13.374803956030185
6.84068406840684e-8,13.33744409913055
6.850685068506851e-8,13.300121587146727
6.860686068606861e-8,13.262836382748759
6.870687068706871e-8,13.225588448643947
6.880688068806881e-8,13.188377747576936
6.890689068906891e-8,13.151204242329555
6.9006900690069e-8,13.11406789572088
6.91069106910691e-8,13.076968670607116
6.92069206920692e-8,13.03990652988162
6.93069306930693e-8,13.00288143647483
6.940694069406941e-8,12.96589335335426
6.950695069506951e-8,12.928942243524403
6.960696069606961e-8,12.892028070026761
6.970697069706971e-8,12.855150795939785
6.980698069806981e-8,12.818310384378812
6.99069906990699e-8,12.78150679849606
7.000700070007e-8,12.744740001480572
7.01070107010701e-8,12.708009956558207
7.02070207020702e-8,12.671316626991555
7.030703070307031e-8,12.63465997607996
7.040704070407041e-8,12.598039967159416
7.050705070507051e-8,12.561456563602604
7.060706070607061e-8,12.524909728818784
7.070707070707071e-8,12.488399426253828
7.08070807080708e-8,12.45192561939011
7.09070907090709e-8,12.415488271746518
7.1007100710071e-8,12.379087346878435
7.11071107110711e-8,12.342722808377637
7.120712071207121e-8,12.306394619872314
7.130713071307131e-8,12.270102745027003
7.140714071407141e-8,12.233847147542576
7.150715071507151e-8,12.197627791156165
7.160716071607161e-8,12.161444639641182
7.17071707170717e-8,12.12529765680722
7.18071807180718e-8,12.08918680650008
